PAC,SHO,PAS,DRI,DEF,PHY,DIV,HAN,KIC,REF,SPE,POS,WF,Skill,Position,Rtg,Rarity
57.0,61.0,71.0,69.0,86.0,80.0,,,,,,,3,2,Defender,86,Gold
73.0,81.0,86.0,85.0,66.0,85.0,,,,,,,4,5,Midfielder,86,Gold
58.0,58.0,77.0,73.0,89.0,77.0,,,,,,,3,3,Defender,86,Gold
64.0,60.0,85.0,90.0,79.0,67.0,,,,,,,4,4,Midfielder,86,Gold
88.0,69.0,81.0,83.0,78.0,72.0,,,,,,,3,3,Defender,86,Gold
65.0,74.0,84.0,79.0,81.0,82.0,,,,,,,3,3,Midfielder,86,Gold
88.0,85.0,66.0,79.0,55.0,75.0,,,,,,,3,3,Attacker,86,Gold
64.0,74.0,88.0,88.0,52.0,55.0,,,,,,,2,4,Midfielder,86,Gold
80.0,54.0,78.0,81.0,82.0,80.0,,,,,,,3,3,Defender,86,Gold
90.0,79.0,84.0,88.0,39.0,55.0,,,,,,,4,4,Midfielder,86,Gold
90.0,79.0,84.0,88.0,39.0,55.0,,,,,,,4,4,Midfielder,86,Gold
63.0,55.0,72.0,68.0,87.0,79.0,,,,,,,3,2,Defender,85,Gold
91.0,85.0,69.0,84.0,35.0,71.0,,,,,,,4,3,Attacker,85,Gold
59.0,54.0,72.0,72.0,86.0,78.0,,,,,,,3,2,Defender,85,Gold
64.0,72.0,85.0,90.0,70.0,62.0,,,,,,,3,5,Midfielder,85,Gold
69.0,79.0,80.0,83.0,79.0,85.0,,,,,,,4,4,Midfielder,85,Gold
82.0,83.0,78.0,85.0,43.0,70.0,,,,,,,4,4,Midfielder,85,Gold
81.0,83.0,76.0,75.0,38.0,84.0,,,,,,,4,3,Attacker,85,Gold
65.0,68.0,77.0,77.0,82.0,80.0,,,,,,,4,3,Midfielder,85,Gold
83.0,79.0,81.0,90.0,38.0,59.0,,,,,,,4,5,Attacker,85,Gold
83.0,66.0,79.0,82.0,81.0,76.0,,,,,,,4,3,Defender,85,Gold
50.0,83.0,90.0,81.0,71.0,69.0,,,,,,,4,3,Midfielder,85,Gold
67.0,68.0,87.0,85.0,75.0,67.0,,,,,,,4,3,Midfielder,85,Gold
69.0,41.0,59.0,66.0,87.0,81.0,,,,,,,4,2,Defender,85,Gold
86.0,83.0,81.0,83.0,32.0,80.0,,,,,,,3,5,Attacker,85,Gold
73.0,85.0,65.0,78.0,36.0,68.0,,,,,,,4,3,Attacker,85,Gold
72.0,59.0,66.0,69.0,85.0,84.0,,,,,,,4,2,Defender,85,Gold
72.0,41.0,73.0,71.0,87.0,78.0,,,,,,,3,3,Defender,85,Gold
91.0,83.0,78.0,85.0,45.0,78.0,,,,,,,4,5,Midfielder,85,Gold
80.0,86.0,84.0,85.0,45.0,63.0,,,,,,,4,4,Midfielder,85,Gold
74.0,76.0,86.0,85.0,58.0,59.0,,,,,,,3,4,Midfielder,85,Gold
88.0,78.0,83.0,91.0,36.0,44.0,,,,,,,4,4,Attacker,85,Gold
93.0,81.0,79.0,85.0,38.0,67.0,,,,,,,3,4,Midfielder,85,Gold
60.0,58.0,69.0,71.0,87.0,77.0,,,,,,,4,2,Defender,85,Gold
92.0,63.0,76.0,77.0,80.0,82.0,,,,,,,2,3,Defender,85,Gold
67.0,75.0,85.0,81.0,76.0,80.0,,,,,,,4,3,Midfielder,85,Gold
84.0,81.0,79.0,85.0,45.0,67.0,,,,,,,4,4,Midfielder,85,Gold
80.0,76.0,87.0,83.0,50.0,66.0,,,,,,,2,5,Midfielder,85,Gold
76.0,75.0,81.0,86.0,78.0,79.0,,,,,,,4,4,Midfielder,85,Gold
80.0,64.0,84.0,87.0,76.0,77.0,,,,,,,3,4,Midfielder,85,Gold
86.0,82.0,80.0,89.0,35.0,51.0,,,,,,,4,4,Attacker,85,Gold
57.0,48.0,64.0,62.0,87.0,79.0,,,,,,,3,2,Defender,85,Gold
74.0,45.0,67.0,66.0,87.0,81.0,,,,,,,4,2,Defender,85,Gold
72.0,81.0,88.0,82.0,53.0,63.0,,,,,,,5,4,Midfielder,85,Gold
81.0,65.0,77.0,80.0,81.0,81.0,,,,,,,3,3,Defender,85,Gold
84.0,83.0,77.0,87.0,39.0,63.0,,,,,,,5,4,Attacker,84,Gold
71.0,62.0,68.0,74.0,87.0,84.0,,,,,,,4,3,Midfielder,84,Gold
71.0,74.0,81.0,81.0,82.0,85.0,,,,,,,3,3,Midfielder,84,Gold
71.0,74.0,81.0,81.0,82.0,85.0,,,,,,,3,3,Midfielder,84,Gold
68.0,41.0,62.0,69.0,86.0,75.0,,,,,,,4,2,Defender,84,Gold
68.0,79.0,79.0,81.0,78.0,79.0,,,,,,,4,3,Midfielder,84,Gold
78.0,82.0,76.0,82.0,49.0,83.0,,,,,,,4,3,Attacker,84,Gold
74.0,78.0,84.0,87.0,73.0,57.0,,,,,,,2,4,Midfielder,84,Gold
75.0,78.0,83.0,83.0,65.0,68.0,,,,,,,4,3,Midfielder,84,Gold
81.0,82.0,80.0,83.0,41.0,63.0,,,,,,,3,3,Attacker,84,Gold
69.0,42.0,59.0,51.0,85.0,81.0,,,,,,,3,2,Defender,84,Gold
82.0,56.0,73.0,76.0,82.0,79.0,,,,,,,2,3,Defender,84,Gold
63.0,74.0,80.0,81.0,79.0,78.0,,,,,,,4,3,Midfielder,84,Gold
60.0,66.0,76.0,78.0,83.0,71.0,,,,,,,3,3,Midfielder,84,Gold
78.0,69.0,80.0,79.0,80.0,76.0,,,,,,,2,3,Defender,84,Gold
78.0,78.0,80.0,82.0,77.0,82.0,,,,,,,4,3,Midfielder,84,Gold
83.0,82.0,71.0,85.0,48.0,82.0,,,,,,,4,4,Attacker,84,Gold
93.0,76.0,77.0,87.0,29.0,59.0,,,,,,,3,4,Midfielder,84,Gold
81.0,78.0,82.0,86.0,51.0,66.0,,,,,,,4,4,Midfielder,84,Gold
70.0,86.0,84.0,85.0,43.0,68.0,,,,,,,4,4,Attacker,84,Gold
67.0,45.0,53.0,56.0,86.0,83.0,,,,,,,3,2,Defender,84,Gold
88.0,78.0,75.0,83.0,47.0,63.0,,,,,,,3,3,Midfielder,84,Gold
87.0,69.0,79.0,83.0,80.0,58.0,,,,,,,2,4,Defender,84,Gold
84.0,68.0,78.0,88.0,77.0,60.0,,,,,,,5,4,Midfielder,84,Gold
68.0,75.0,82.0,89.0,59.0,59.0,,,,,,,3,4,Midfielder,84,Gold
69.0,61.0,71.0,78.0,85.0,79.0,,,,,,,3,3,Midfielder,84,Gold
82.0,85.0,77.0,86.0,35.0,63.0,,,,,,,4,3,Attacker,84,Gold
85.0,65.0,79.0,84.0,77.0,71.0,,,,,,,2,3,Defender,84,Gold
64.0,72.0,78.0,78.0,85.0,79.0,,,,,,,4,3,Defender,84,Gold
62.0,41.0,58.0,62.0,86.0,86.0,,,,,,,3,2,Defender,84,Gold
84.0,87.0,63.0,76.0,43.0,85.0,,,,,,,3,3,Attacker,84,Gold
73.0,85.0,70.0,76.0,55.0,82.0,,,,,,,4,3,Attacker,84,Gold
93.0,73.0,79.0,90.0,43.0,59.0,,,,,,,3,5,Midfielder,84,Gold
93.0,73.0,79.0,90.0,43.0,59.0,,,,,,,3,5,Midfielder,84,Gold
77.0,70.0,81.0,80.0,83.0,76.0,,,,,,,4,3,Defender,84,Gold
67.0,55.0,77.0,72.0,84.0,76.0,,,,,,,3,2,Defender,84,Gold
63.0,73.0,81.0,80.0,82.0,82.0,,,,,,,4,4,Midfielder,84,Gold
66.0,73.0,82.0,87.0,75.0,71.0,,,,,,,3,4,Midfielder,84,Gold
89.0,83.0,74.0,87.0,41.0,72.0,,,,,,,3,4,Attacker,84,Gold
85.0,74.0,83.0,80.0,79.0,76.0,,,,,,,2,3,Defender,84,Gold
85.0,74.0,83.0,80.0,79.0,76.0,,,,,,,2,3,Defender,84,Gold
52.0,88.0,77.0,79.0,34.0,77.0,,,,,,,4,5,Attacker,83,Gold
83.0,68.0,76.0,76.0,80.0,83.0,,,,,,,3,3,Defender,83,Gold
90.0,75.0,72.0,87.0,34.0,75.0,,,,,,,3,5,Midfielder,83,Gold
84.0,77.0,81.0,85.0,52.0,67.0,,,,,,,4,4,Midfielder,83,Gold
87.0,79.0,78.0,85.0,39.0,73.0,,,,,,,2,4,Midfielder,83,Gold
77.0,63.0,81.0,78.0,77.0,73.0,,,,,,,3,4,Defender,83,Gold
66.0,62.0,69.0,69.0,83.0,79.0,,,,,,,3,2,Defender,83,Gold
71.0,79.0,82.0,81.0,72.0,77.0,,,,,,,4,4,Midfielder,83,Gold
94.0,73.0,74.0,87.0,50.0,52.0,,,,,,,3,4,Midfielder,83,Gold
71.0,80.0,80.0,83.0,83.0,81.0,,,,,,,3,3,Midfielder,83,Gold
71.0,80.0,80.0,83.0,83.0,81.0,,,,,,,3,3,Midfielder,83,Gold
90.0,79.0,81.0,82.0,59.0,79.0,,,,,,,4,3,Attacker,83,Gold
72.0,82.0,77.0,82.0,80.0,85.0,,,,,,,4,4,Midfielder,83,Gold
92.0,77.0,77.0,86.0,36.0,56.0,,,,,,,5,5,Attacker,83,Gold
78.0,79.0,83.0,82.0,58.0,65.0,,,,,,,3,4,Midfielder,83,Gold
92.0,57.0,69.0,82.0,77.0,76.0,,,,,,,3,4,Defender,83,Gold
79.0,82.0,81.0,87.0,38.0,79.0,,,,,,,4,4,Midfielder,83,Gold
81.0,75.0,80.0,87.0,51.0,60.0,,,,,,,3,4,Attacker,83,Gold
75.0,69.0,83.0,87.0,69.0,70.0,,,,,,,4,4,Midfielder,83,Gold
78.0,75.0,84.0,84.0,58.0,63.0,,,,,,,2,5,Midfielder,83,Gold
78.0,75.0,84.0,84.0,58.0,63.0,,,,,,,2,5,Midfielder,83,Gold
76.0,74.0,82.0,86.0,78.0,82.0,,,,,,,3,4,Defender,83,Gold
79.0,73.0,80.0,88.0,76.0,76.0,,,,,,,4,5,Defender,83,Gold
80.0,83.0,80.0,80.0,65.0,78.0,,,,,,,4,3,Midfielder,83,Gold
92.0,78.0,72.0,87.0,43.0,67.0,,,,,,,4,4,Midfielder,83,Gold
82.0,25.0,42.0,62.0,85.0,79.0,,,,,,,2,2,Defender,83,Gold
73.0,60.0,81.0,77.0,79.0,72.0,,,,,,,4,3,Defender,83,Gold
81.0,64.0,79.0,83.0,76.0,67.0,,,,,,,3,4,Defender,83,Gold
55.0,65.0,84.0,80.0,72.0,73.0,,,,,,,3,3,Midfielder,83,Gold
60.0,46.0,68.0,68.0,85.0,78.0,,,,,,,2,2,Defender,83,Gold
82.0,30.0,66.0,70.0,83.0,80.0,,,,,,,3,3,Defender,83,Gold
56.0,75.0,86.0,83.0,72.0,66.0,,,,,,,4,3,Midfielder,83,Gold
86.0,65.0,79.0,83.0,77.0,71.0,,,,,,,3,4,Defender,83,Gold
59.0,62.0,72.0,71.0,85.0,78.0,,,,,,,3,3,Defender,83,Gold
66.0,74.0,84.0,84.0,72.0,71.0,,,,,,,4,4,Midfielder,83,Gold
65.0,85.0,71.0,80.0,31.0,69.0,,,,,,,4,3,Attacker,83,Gold
76.0,84.0,76.0,80.0,46.0,73.0,,,,,,,4,3,Attacker,83,Gold
84.0,61.0,78.0,80.0,79.0,70.0,,,,,,,3,4,Defender,83,Gold
88.0,84.0,82.0,80.0,58.0,73.0,,,,,,,3,4,Attacker,83,Gold
85.0,82.0,72.0,87.0,42.0,72.0,,,,,,,3,4,Attacker,83,Gold
62.0,50.0,62.0,64.0,86.0,83.0,,,,,,,3,3,Defender,83,Gold
88.0,76.0,79.0,83.0,68.0,80.0,,,,,,,2,3,Midfielder,83,Gold
66.0,62.0,74.0,73.0,82.0,82.0,,,,,,,3,3,Midfielder,83,Gold
92.0,64.0,76.0,79.0,78.0,82.0,,,,,,,5,4,Defender,83,Gold
86.0,74.0,78.0,80.0,77.0,80.0,,,,,,,3,3,Midfielder,83,Gold
63.0,74.0,84.0,82.0,76.0,70.0,,,,,,,4,4,Midfielder,83,Gold
88.0,77.0,79.0,82.0,47.0,64.0,,,,,,,4,4,Midfielder,83,Gold
59.0,84.0,71.0,75.0,46.0,73.0,,,,,,,5,2,Attacker,83,Gold
75.0,81.0,59.0,78.0,37.0,83.0,,,,,,,4,3,Attacker,83,Gold
66.0,80.0,84.0,84.0,41.0,73.0,,,,,,,3,4,Attacker,83,Gold
70.0,80.0,78.0,79.0,72.0,80.0,,,,,,,3,3,Midfielder,83,Gold
77.0,47.0,63.0,68.0,82.0,83.0,,,,,,,4,3,Defender,83,Gold
83.0,64.0,75.0,78.0,81.0,85.0,,,,,,,3,3,Midfielder,83,Gold
72.0,80.0,79.0,83.0,71.0,79.0,,,,,,,3,4,Midfielder,83,Gold
72.0,79.0,82.0,88.0,52.0,59.0,,,,,,,4,5,Midfielder,83,Gold
60.0,72.0,82.0,81.0,78.0,73.0,,,,,,,4,3,Midfielder,83,Gold
80.0,82.0,78.0,84.0,31.0,67.0,,,,,,,2,4,Attacker,83,Gold
75.0,66.0,75.0,78.0,82.0,79.0,,,,,,,2,2,Midfielder,83,Gold
65.0,79.0,79.0,78.0,83.0,86.0,,,,,,,4,3,Midfielder,83,Gold
73.0,71.0,77.0,83.0,85.0,83.0,,,,,,,3,4,Midfielder,83,Gold
76.0,82.0,75.0,84.0,46.0,75.0,,,,,,,4,4,Attacker,83,Gold
70.0,40.0,56.0,70.0,85.0,78.0,,,,,,,3,2,Defender,83,Gold
94.0,70.0,76.0,82.0,72.0,76.0,,,,,,,2,3,Midfielder,83,Gold
86.0,51.0,68.0,80.0,82.0,74.0,,,,,,,2,4,Defender,83,Gold
91.0,81.0,75.0,84.0,36.0,65.0,,,,,,,4,4,Midfielder,82,Gold
82.0,79.0,80.0,85.0,49.0,59.0,,,,,,,4,4,Attacker,82,Gold
61.0,75.0,84.0,77.0,71.0,73.0,,,,,,,4,3,Midfielder,82,Gold
91.0,79.0,76.0,81.0,44.0,71.0,,,,,,,3,4,Attacker,82,Gold
83.0,74.0,78.0,77.0,77.0,80.0,,,,,,,3,3,Midfielder,82,Gold
85.0,55.0,73.0,78.0,78.0,70.0,,,,,,,3,2,Defender,82,Gold
45.0,41.0,62.0,64.0,86.0,75.0,,,,,,,3,2,Defender,82,Gold
89.0,80.0,79.0,82.0,46.0,71.0,,,,,,,4,5,Midfielder,82,Gold
89.0,80.0,79.0,82.0,46.0,71.0,,,,,,,4,5,Midfielder,82,Gold
89.0,78.0,75.0,83.0,33.0,66.0,,,,,,,2,4,Midfielder,82,Gold
80.0,80.0,71.0,81.0,31.0,77.0,,,,,,,4,3,Attacker,82,Gold
64.0,69.0,85.0,83.0,24.0,55.0,,,,,,,2,4,Midfielder,82,Gold
64.0,69.0,85.0,83.0,24.0,55.0,,,,,,,2,4,Midfielder,82,Gold
61.0,58.0,70.0,65.0,85.0,78.0,,,,,,,3,2,Defender,82,Gold
80.0,82.0,79.0,79.0,44.0,81.0,,,,,,,4,4,Attacker,82,Gold
82.0,61.0,74.0,78.0,79.0,79.0,,,,,,,3,3,Defender,82,Gold
84.0,74.0,79.0,81.0,78.0,82.0,,,,,,,3,3,Midfielder,82,Gold
79.0,80.0,81.0,83.0,43.0,61.0,,,,,,,3,4,Attacker,82,Gold
66.0,66.0,73.0,72.0,81.0,80.0,,,,,,,3,3,Defender,82,Gold
82.0,83.0,78.0,82.0,63.0,84.0,,,,,,,3,4,Attacker,82,Gold
77.0,54.0,70.0,71.0,83.0,79.0,,,,,,,3,2,Defender,82,Gold
60.0,64.0,72.0,73.0,84.0,77.0,,,,,,,3,2,Defender,82,Gold
85.0,68.0,78.0,78.0,80.0,77.0,,,,,,,3,3,Midfielder,82,Gold
90.0,76.0,74.0,84.0,34.0,72.0,,,,,,,3,4,Midfielder,82,Gold
70.0,50.0,72.0,66.0,82.0,79.0,,,,,,,4,2,Defender,82,Gold
53.0,86.0,85.0,86.0,50.0,63.0,,,,,,,2,4,Midfielder,82,Gold
61.0,79.0,85.0,78.0,75.0,69.0,,,,,,,4,3,Midfielder,82,Gold
79.0,81.0,78.0,78.0,62.0,76.0,,,,,,,5,4,Midfielder,82,Gold
50.0,53.0,69.0,71.0,82.0,85.0,,,,,,,3,2,Defender,82,Gold
77.0,77.0,82.0,85.0,65.0,73.0,,,,,,,3,4,Midfielder,82,Gold
68.0,49.0,71.0,65.0,84.0,83.0,,,,,,,2,2,Defender,82,Gold
82.0,80.0,81.0,82.0,41.0,68.0,,,,,,,3,4,Attacker,82,Gold
63.0,78.0,78.0,82.0,74.0,68.0,,,,,,,4,4,Midfielder,82,Gold
74.0,78.0,79.0,80.0,83.0,87.0,,,,,,,4,3,Midfielder,82,Gold
70.0,79.0,84.0,85.0,39.0,67.0,,,,,,,4,4,Attacker,82,Gold
66.0,63.0,72.0,74.0,80.0,85.0,,,,,,,3,3,Midfielder,82,Gold
66.0,63.0,72.0,74.0,80.0,85.0,,,,,,,3,3,Midfielder,82,Gold
54.0,65.0,81.0,78.0,83.0,73.0,,,,,,,3,3,Defender,82,Gold
72.0,37.0,62.0,62.0,84.0,80.0,,,,,,,4,2,Defender,82,Gold
78.0,80.0,83.0,83.0,65.0,68.0,,,,,,,3,4,Midfielder,82,Gold
84.0,80.0,75.0,86.0,54.0,70.0,,,,,,,4,4,Midfielder,82,Gold
71.0,85.0,73.0,85.0,30.0,71.0,,,,,,,4,4,Attacker,82,Gold
80.0,82.0,81.0,82.0,54.0,75.0,,,,,,,4,4,Midfielder,82,Gold
68.0,74.0,81.0,77.0,82.0,77.0,,,,,,,3,3,Defender,82,Gold
68.0,77.0,79.0,80.0,68.0,73.0,,,,,,,3,3,Midfielder,82,Gold
64.0,78.0,82.0,79.0,69.0,71.0,,,,,,,5,4,Midfielder,81,Gold
79.0,77.0,80.0,83.0,46.0,67.0,,,,,,,4,5,Midfielder,81,Gold
65.0,82.0,59.0,70.0,39.0,85.0,,,,,,,3,3,Attacker,81,Gold
68.0,69.0,73.0,74.0,80.0,83.0,,,,,,,3,3,Midfielder,81,Gold
77.0,73.0,76.0,74.0,77.0,84.0,,,,,,,4,3,Defender,81,Gold
80.0,76.0,81.0,84.0,59.0,62.0,,,,,,,3,4,Midfielder,81,Gold
77.0,73.0,73.0,75.0,82.0,82.0,,,,,,,4,3,Midfielder,81,Gold
92.0,78.0,75.0,86.0,47.0,67.0,,,,,,,3,4,Midfielder,81,Gold
66.0,52.0,63.0,62.0,84.0,77.0,,,,,,,4,2,Defender,81,Gold
76.0,75.0,82.0,85.0,33.0,53.0,,,,,,,3,4,Attacker,81,Gold
80.0,80.0,83.0,82.0,36.0,64.0,,,,,,,3,4,Attacker,81,Gold
61.0,35.0,54.0,57.0,84.0,72.0,,,,,,,3,2,Defender,81,Gold
70.0,80.0,62.0,75.0,51.0,82.0,,,,,,,3,3,Attacker,81,Gold
70.0,80.0,62.0,75.0,51.0,82.0,,,,,,,3,3,Attacker,81,Gold
59.0,43.0,54.0,61.0,83.0,86.0,,,,,,,3,2,Defender,81,Gold
81.0,53.0,70.0,76.0,77.0,78.0,,,,,,,3,3,Defender,81,Gold
81.0,53.0,70.0,76.0,77.0,78.0,,,,,,,3,3,Defender,81,Gold
45.0,74.0,77.0,77.0,79.0,78.0,,,,,,,4,2,Midfielder,81,Gold
45.0,74.0,77.0,77.0,79.0,78.0,,,,,,,4,2,Midfielder,81,Gold
65.0,38.0,54.0,60.0,83.0,84.0,,,,,,,4,2,Defender,81,Gold
65.0,38.0,54.0,60.0,83.0,84.0,,,,,,,4,2,Defender,81,Gold
83.0,78.0,72.0,81.0,50.0,80.0,,,,,,,5,4,Attacker,81,Gold
84.0,67.0,76.0,81.0,75.0,75.0,,,,,,,3,4,Defender,81,Gold
91.0,75.0,74.0,82.0,49.0,71.0,,,,,,,3,4,Midfielder,81,Gold
91.0,75.0,74.0,82.0,49.0,71.0,,,,,,,3,4,Midfielder,81,Gold
73.0,39.0,67.0,67.0,80.0,84.0,,,,,,,3,2,Defender,81,Gold
66.0,51.0,60.0,61.0,82.0,85.0,,,,,,,3,2,Defender,81,Gold
78.0,84.0,67.0,80.0,35.0,62.0,,,,,,,4,3,Attacker,81,Gold
73.0,76.0,82.0,82.0,57.0,57.0,,,,,,,4,4,Attacker,81,Gold
71.0,73.0,76.0,87.0,65.0,66.0,,,,,,,4,4,Midfielder,81,Gold
93.0,66.0,74.0,84.0,43.0,53.0,,,,,,,2,4,Midfielder,81,Gold
81.0,79.0,62.0,76.0,30.0,83.0,,,,,,,3,3,Attacker,81,Gold
81.0,79.0,62.0,76.0,30.0,83.0,,,,,,,3,3,Attacker,81,Gold
66.0,81.0,81.0,82.0,45.0,70.0,,,,,,,4,4,Midfielder,81,Gold
83.0,77.0,78.0,84.0,42.0,55.0,,,,,,,4,4,Midfielder,81,Gold
73.0,64.0,73.0,75.0,76.0,79.0,,,,,,,4,3,Defender,81,Gold
64.0,68.0,72.0,73.0,82.0,80.0,,,,,,,3,3,Midfielder,81,Gold
80.0,78.0,78.0,86.0,47.0,69.0,,,,,,,3,5,Midfielder,81,Gold
69.0,75.0,83.0,84.0,55.0,69.0,,,,,,,4,4,Midfielder,81,Gold
70.0,77.0,82.0,81.0,72.0,72.0,,,,,,,5,4,Midfielder,81,Gold
70.0,77.0,82.0,81.0,72.0,72.0,,,,,,,5,4,Midfielder,81,Gold
65.0,75.0,78.0,77.0,77.0,79.0,,,,,,,3,3,Defender,81,Gold
65.0,46.0,60.0,60.0,84.0,76.0,,,,,,,3,2,Defender,81,Gold
89.0,62.0,77.0,82.0,54.0,63.0,,,,,,,3,3,Midfielder,81,Gold
79.0,53.0,74.0,78.0,80.0,78.0,,,,,,,2,3,Defender,81,Gold
74.0,67.0,75.0,79.0,79.0,74.0,,,,,,,3,3,Midfielder,81,Gold
74.0,67.0,75.0,79.0,79.0,74.0,,,,,,,3,3,Midfielder,81,Gold
73.0,84.0,79.0,79.0,41.0,84.0,,,,,,,4,3,Attacker,81,Gold
69.0,67.0,80.0,85.0,63.0,62.0,,,,,,,4,3,Midfielder,81,Gold
89.0,72.0,78.0,87.0,72.0,64.0,,,,,,,3,5,Defender,81,Gold
89.0,80.0,61.0,79.0,25.0,75.0,,,,,,,4,3,Attacker,81,Gold
77.0,53.0,71.0,76.0,79.0,70.0,,,,,,,3,3,Defender,81,Gold
81.0,75.0,81.0,82.0,63.0,69.0,,,,,,,4,4,Midfielder,81,Gold
84.0,75.0,77.0,85.0,39.0,69.0,,,,,,,4,4,Attacker,81,Gold
81.0,81.0,74.0,83.0,40.0,69.0,,,,,,,4,5,Attacker,81,Gold
37.0,55.0,69.0,64.0,84.0,80.0,,,,,,,3,2,Midfielder,81,Gold
75.0,76.0,84.0,82.0,54.0,58.0,,,,,,,4,4,Midfielder,81,Gold
82.0,64.0,74.0,81.0,75.0,75.0,,,,,,,3,4,Defender,81,Gold
58.0,70.0,85.0,85.0,63.0,59.0,,,,,,,4,4,Midfielder,81,Gold
94.0,79.0,72.0,78.0,39.0,81.0,,,,,,,2,4,Attacker,81,Gold
76.0,75.0,80.0,84.0,66.0,69.0,,,,,,,3,4,Midfielder,81,Gold
71.0,75.0,75.0,76.0,78.0,83.0,,,,,,,4,3,Midfielder,81,Gold
87.0,79.0,76.0,81.0,36.0,69.0,,,,,,,4,4,Midfielder,81,Gold
79.0,71.0,79.0,83.0,75.0,70.0,,,,,,,4,4,Midfielder,81,Gold
74.0,74.0,82.0,86.0,30.0,53.0,,,,,,,5,5,Attacker,81,Gold
82.0,76.0,78.0,80.0,34.0,64.0,,,,,,,4,4,Midfielder,81,Gold
89.0,75.0,78.0,86.0,55.0,61.0,,,,,,,4,4,Midfielder,81,Gold
89.0,75.0,78.0,86.0,55.0,61.0,,,,,,,4,4,Midfielder,81,Gold
86.0,75.0,72.0,84.0,32.0,60.0,,,,,,,3,4,Attacker,81,Gold
79.0,82.0,75.0,82.0,39.0,73.0,,,,,,,4,4,Attacker,81,Gold
74.0,45.0,56.0,66.0,82.0,81.0,,,,,,,2,2,Defender,81,Gold
