Name,Rtg,Pos,Club,League,Nationality,DIV,HAN,KIC,REF,SPE,POS,WF,Skill
Odisseas Vlachodimos,81,GK,SL Benfica,Liga NOS,GRE,84,76,67,86,43,77,3,1
Alessio Cragno,81,GK,Cagliari,Serie A TIM,ITA,84,78,69,88,39,76,3,1
Jordan Pickford,81,GK,Everton,Premier League,ENG,81,77,87,85,49,77,5,1
Jordi Masip,81,GK,R. Valladolid CF,LaLiga Santander,ESP,82,82,72,84,65,77,4,1
Simon Mignolet,81,GK,Club Brugge KV,1A Pro League,BEL,80,75,76,82,51,84,3,1
Łukasz Fabiański,81,GK,West Ham United,Premier League,POL,80,82,70,82,49,81,2,1
Marko Dmitrović,81,GK,Sevilla FC,LaLiga Santander,SRB,78,80,79,82,37,81,2,1
Marko Dmitrović,81,GK,SD Eibar,LaLiga Santander,SRB,78,80,79,82,37,81,2,1
Jasper Cillessen,81,GK,Valencia CF,LaLiga Santander,NED,81,80,77,79,54,80,3,1
Stéphane Ruffier,81,GK,AS Saint-Étienne,Ligue 1 Uber Eats,FRA,80,81,74,81,47,82,3,1
Andrea Consigli,81,GK,Sassuolo,Serie A TIM,ITA,81,82,72,83,42,80,3,1
Adán,80,GK,Sporting CP,Liga NOS,ESP,77,80,78,80,55,79,2,1
Dean Henderson,80,GK,Manchester United,Premier League,ENG,80,80,70,83,50,77,3,1
Unai Simón,80,GK,Athletic Club,LaLiga Santander,ESP,81,77,68,80,47,83,2,1
Álex Remiro,80,GK,Real Sociedad,LaLiga Santander,ESP,83,72,78,81,42,81,4,1
Juan Musso,80,GK,Udinese,Serie A TIM,ARG,82,77,74,84,44,80,3,1
Benjamin Lecomte,80,GK,AS Monaco,Ligue 1 Uber Eats,FRA,80,78,77,81,42,80,3,1
Guaita,80,GK,Crystal Palace,Premier League,ESP,81,80,77,82,51,78,3,1
Sergio Romero,80,GK,Manchester United,Premier League,ARG,78,76,81,83,46,79,3,1
Mathew Ryan,80,GK,Arsenal,Premier League,AUS,81,75,82,82,53,78,4,1
Dominik Livaković,80,GK,Dinamo Zagreb,Liga Hrvatska,CRO,80,78,74,82,56,79,3,1
Mathew Ryan,80,GK,Brighton & Hove Albion,Premier League,AUS,81,75,82,82,53,78,4,1
Igor Akinfeev,80,GK,PFC CSKA Moscow,League of Russia,RUS,77,72,78,84,51,82,3,1
David Ospina,79,GK,Napoli,Serie A TIM,COL,82,72,77,84,34,77,3,1
Rui Silva,79,GK,Real Betis,LaLiga Santander,POR,78,74,75,84,31,80,3,1
Sven Ulreich,79,GK,Hamburger SV,Bundesliga 2,GER,79,71,68,84,41,79,2,1
Édouard Mendy,79,GK,Chelsea,Premier League,SEN,80,77,75,79,35,79,2,1
Predrag Rajković,79,GK,Stade de Reims,Ligue 1 Uber Eats,SRB,78,77,74,81,25,79,2,1
Pierluigi Gollini,79,GK,Atalanta,Serie A TIM,ITA,81,75,69,81,47,79,2,1
Rui Silva,79,GK,Granada CF,LaLiga Santander,POR,78,74,75,84,31,80,3,1
Matheus,79,GK,SC Braga,Liga NOS,BRA,82,75,72,83,45,77,3,1
Alexander Schwolow,79,GK,Hertha Berlin,Bundesliga,GER,78,76,71,81,37,78,3,1
Marco Bizot,79,GK,AZ,Eredivisie,NED,82,76,67,79,46,76,2,1
Matz Sels,79,GK,RC Strasbourg Alsace,Ligue 1 Uber Eats,BEL,81,76,76,80,36,79,2,1
Sven Ulreich,79,GK,FC Bayern München,Bundesliga,GER,79,71,68,84,41,79,2,1
Nahuel Guzmán,79,GK,Tigres de la UANL,LIGA BBVA MX,ARG,78,77,72,79,51,81,3,1
Ben Foster,79,GK,Watford,EFL Championship,ENG,80,77,73,80,49,79,3,1
Benoît Costil,79,GK,FC Girondins de Bordeaux,Ligue 1 Uber Eats,FRA,78,77,77,80,49,78,3,1
Guillermo Ochoa,79,GK,Club América,LIGA BBVA MX,MEX,77,69,75,83,48,79,3,1
Pepe Reina,79,GK,Lazio,Serie A TIM,ESP,77,79,80,78,45,80,3,1
Herrerín,78,GK,Athletic Club,LaLiga Santander,ESP,80,78,83,74,44,77,3,1
Tom Heaton,78,GK,Manchester United,Premier League,ENG,78,77,74,79,56,78,3,1
Loris Karius,78,GK,1. FC Union Berlin,Bundesliga,GER,82,72,78,81,55,76,3,1
Robin Olsen,78,GK,Everton,Premier League,SWE,78,77,76,78,35,78,2,1
Emiliano Martínez,78,GK,Aston Villa,Premier League,ARG,78,80,78,77,58,77,3,1
Ciprian Tătărușanu,78,GK,Milan,Serie A TIM,ROM,79,76,75,80,45,77,3,1
Ondřej Kolář,78,GK,SK Slavia Praha,Česká Liga,CZ,75,73,81,80,57,79,3,1
Luís Maximiano,78,GK,Sporting CP,Liga NOS,POR,79,76,65,79,55,76,2,1
Alban Lafont,78,GK,FC Nantes,Ligue 1 Uber Eats,FRA,79,76,70,82,47,75,3,1
Alex Meret,78,GK,Napoli,Serie A TIM,ITA,79,74,70,82,44,77,3,1
Paul Bernardoni,78,GK,Angers SCO,Ligue 1 Uber Eats,FRA,78,74,73,84,29,77,2,1
José Sá,78,GK,Olympiacos CFP,Hellas Liga,POR,79,76,64,80,44,76,2,1
Camilo Vargas,78,GK,Club Atlas,LIGA BBVA MX,COL,77,74,69,81,44,76,3,1
Robin Olsen,78,GK,Roma FC,Serie A TIM,SWE,78,77,76,78,35,78,2,1
Loris Karius,78,GK,Liverpool,Premier League,GER,82,72,78,81,55,76,3,1
Marwin Hitz,78,GK,Borussia Dortmund,Bundesliga,SUI,79,77,63,80,43,79,3,1
Guilherme,78,GK,Lokomotiv Moscow,League of Russia,RUS,82,73,72,80,38,78,2,1
Tom Heaton,78,GK,Aston Villa,Premier League,ENG,78,77,74,79,56,78,3,1
Andrés Fernández,78,GK,SD Huesca,LaLiga Santander,ESP,80,75,68,79,57,76,3,1
Antonio Mirante,78,GK,Roma FC,Serie A TIM,ITA,79,78,65,77,44,79,2,1
Moyá,78,GK,Real Sociedad,LaLiga Santander,ESP,82,72,80,78,41,79,2,1
Lars Unnerstall,77,GK,FC Twente,Eredivisie,GER,77,76,73,78,32,75,1,1
Paulo Gazzaniga,77,GK,Elche CF,LaLiga Santander,ARG,80,76,84,80,64,77,3,1
Gautier Larsonneur,77,GK,Stade Brestois 29,Ligue 1 Uber Eats,FRA,79,78,72,78,52,74,2,1
Emil Audero,77,GK,Sampdoria,Serie A TIM,ITA,80,73,73,80,53,74,2,1
Uğurcan Çakır,77,GK,Trabzonspor,Süper Lig,TUR,75,73,70,80,54,76,3,1
Jonas Omlin,77,GK,Montpellier Hérault SC,Ligue 1 Uber Eats,SUI,77,75,73,79,50,75,4,1
Jaume,77,GK,Valencia CF,LaLiga Santander,ESP,77,76,75,79,58,76,3,1
Sergio Rico,77,GK,Paris Saint-Germain,Ligue 1 Uber Eats,ESP,77,74,77,80,47,74,3,1
Paulo Gazzaniga,77,GK,Tottenham Hotspur,Premier League,ARG,80,76,84,80,64,77,3,1
Hendrik Van Crombrugge,77,GK,RSC Anderlecht,1A Pro League,BEL,79,74,76,79,37,77,2,1
Timo Horn,77,GK,1. FC Köln,Bundesliga,GER,78,78,60,79,47,73,2,1
Lars Unnerstall,77,GK,PSV,Eredivisie,GER,77,76,73,78,32,75,1,1
Cláudio Ramos,77,GK,FC Porto,Liga NOS,POR,81,75,65,79,55,73,3,1
Rafał Gikiewicz,77,GK,FC Augsburg,Bundesliga,POL,78,73,64,80,28,74,2,1
Luigi Sepe,77,GK,Parma,Serie A TIM,ITA,79,75,71,80,48,75,2,1
Marco Silvestri,77,GK,Hellas Verona,Serie A TIM,ITA,79,75,65,79,59,77,3,1
Mert Günok,77,GK,İstanbul Başakşehir FK,Süper Lig,TUR,73,72,81,82,56,80,2,1
Alex McCarthy,77,GK,Southampton,Premier League,ENG,77,75,64,81,57,75,2,1
Ralf Fährmann,77,GK,FC Schalke 04,Bundesliga,GER,79,78,44,78,42,77,1,1
Régis Gurtner,77,GK,Amiens SC,Ligue 2 BKT,FRA,77,75,75,78,42,77,2,1
Claudio Bravo,77,GK,Real Betis,LaLiga Santander,CHI,77,76,84,77,56,75,3,1
Jonathan Orozco,77,GK,Club Tijuana,LIGA BBVA MX,MEX,76,72,84,76,59,77,3,1
Iván Cuéllar,77,GK,CD Leganés,LaLiga SmartBank,ESP,74,76,78,79,53,73,2,1
Rune Almenning Jarstein,77,GK,Hertha Berlin,Bundesliga,NOR,80,73,71,77,42,80,4,1
Florian Müller,76,GK,VfB Stuttgart,Bundesliga,GER,75,73,71,80,43,73,3,1
Kenneth Vermeer,76,GK,FC Cincinnati,MLS,NED,78,68,66,81,58,76,4,1
Joe Hart,76,GK,Tottenham Hotspur,Premier League,ENG,72,75,64,77,58,75,3,1
Leandro Chichizola,76,GK,FC Cartagena,LaLiga SmartBank,ARG,76,75,69,78,51,74,3,1
Jeroen Zoet,76,GK,Borgocalcio,Serie A TIM,NED,76,74,76,78,51,76,4,1
Alfred Gomis,76,GK,Stade Rennais FC,Ligue 1 Uber Eats,SEN,77,77,70,75,42,75,3,1
Frederik Rønnow,76,GK,FC Schalke 04,Bundesliga,DEN,77,72,67,78,47,76,2,1
Florian Müller,76,GK,Sport-Club Freiburg,Bundesliga,GER,75,73,71,80,43,73,3,1
Zack Steffen,76,GK,Manchester City,Premier League,USA,77,72,73,83,53,71,3,1
Justin Bijlow,76,GK,Feyenoord,Eredivisie,NED,78,72,75,77,50,73,2,1
Sergio Herrera,76,GK,CA Osasuna,LaLiga Santander,ESP,77,76,73,76,47,73,3,1
Marco Sportiello,76,GK,Atalanta,Serie A TIM,ITA,76,74,68,78,44,76,2,1
Alexandr Selikhov,76,GK,Spartak Moscow,League of Russia,RUS,76,79,76,75,39,75,4,1
Rubén Blanco,76,GK,RC Celta,LaLiga Santander,ESP,79,75,73,74,53,76,3,1
Yassine Bounou,76,GK,Sevilla FC,LaLiga Santander,MOR,75,76,74,76,36,75,2,1
Yvon Mvogo,76,GK,PSV,Eredivisie,SUI,80,74,71,79,42,72,3,1
Alfred Gomis,76,GK,Dijon FCO,Ligue 1 Uber Eats,SEN,77,77,70,75,42,75,3,1
Gabriel,76,GK,Lecce,Calcio B,BRA,78,73,68,79,36,75,2,1
Frederik Rønnow,76,GK,Eintracht Frankfurt,Bundesliga,DEN,77,72,67,78,47,76,2,1
Joel Robles,76,GK,Real Betis,LaLiga Santander,ESP,78,73,72,80,52,73,2,1
Adrián,76,GK,Liverpool,Premier League,ESP,79,72,68,80,45,72,2,1
Leandro Chichizola,76,GK,Getafe CF,LaLiga Santander,ARG,76,75,69,78,51,74,3,1
Jeroen Zoet,76,GK,PSV,Eredivisie,NED,76,74,76,78,51,76,4,1
Karl-Johan Johnsson,76,GK,FC København,3F Superliga,SWE,75,73,73,77,50,77,2,1
Łukasz Skorupski,76,GK,Bologna,Serie A TIM,POL,80,75,54,81,51,75,2,1
Etrit Berisha,76,GK,SPAL,Calcio B,ALB,76,76,67,78,28,75,2,1
Orestis Karnezis,76,GK,LOSC Lille,Ligue 1 Uber Eats,GRE,76,75,71,77,40,76,3,1
Alexandre Oukidja,76,GK,FC Metz,Ligue 1 Uber Eats,ALG,76,71,65,81,47,76,3,1
Fraser Forster,76,GK,Southampton,Premier League,ENG,76,72,65,80,30,75,5,1
Kenneth Vermeer,76,GK,LAFC,MLS,NED,78,68,66,81,58,76,4,1
Diego López,76,GK,RCD Espanyol,LaLiga SmartBank,ESP,71,76,72,73,41,78,3,1
Andriy Pyatov,76,GK,Shakhtar Donetsk,Ukrayina Liha,UKR,75,69,78,78,44,80,3,1
Alexander Nübel,75,GK,AS Monaco,Ligue 1 Uber Eats,GER,75,65,71,85,48,76,5,1
Alexander Nübel,75,GK,FC Bayern München,Bundesliga,GER,75,65,71,85,48,76,5,1
Baptiste Reynet,75,GK,Dijon FCO,Ligue 1 Uber Eats,FRA,74,72,74,77,45,75,3,1
Jesper Hansen,75,GK,Aarhus AGF,3F Superliga,DEN,75,72,77,75,41,76,4,1
Hervé Koffi,75,GK,Sporting Charleroi,1A Pro League,BUR,73,78,68,74,34,72,3,1
Gregor Kobel,75,GK,Borussia Dortmund,Bundesliga,SUI,75,71,75,78,26,73,2,1
Hugo González,75,GK,Fútbol Club Juárez,LIGA BBVA MX,MEX,76,74,70,73,33,76,4,1
Serkan Kırıntılı,75,GK,Alanyaspor,Süper Lig,TUR,75,72,68,78,47,75,2,1
Guido Herrera,75,GK,Club Atlético Talleres,Primera División,ARG,75,73,69,77,59,75,2,1
Nicolás Vikonis,75,GK,Mazatlán Fútbol Club,LIGA BBVA MX,URU,76,72,68,77,41,74,3,1
Sinan Bolat,75,GK,KAA Gent,1A Pro League,TUR,71,78,79,75,44,74,4,1
Andriy Lunin,75,GK,Real Madrid,LaLiga Santander,UKR,72,71,74,77,37,75,3,1
Hervé Koffi,75,GK,Royal Excel Mouscron,1A Pro League,BUR,73,78,68,74,34,72,3,1
Vasilios Barkas,75,GK,Celtic,Scottish Prem,GRE,71,75,74,75,35,77,2,1
Gregor Kobel,75,GK,VfB Stuttgart,Bundesliga,SUI,75,71,75,78,26,73,2,1
Ionuț Andrei Radu,75,GK,Inter,Serie A TIM,ROM,79,69,72,80,40,75,2,1
Aaron Ramsdale,75,GK,Sheffield United,Premier League,ENG,76,73,69,77,48,73,2,1
Denys Boyko,75,GK,Dynamo Kyiv,Ukrayina Liha,UKR,76,67,68,75,49,76,3,1
Wuilker Faríñez,75,GK,RC Lens,Ligue 1 Uber Eats,VEN,73,70,69,78,52,74,3,1
Robin Zentner,75,GK,1. FSV Mainz 05,Bundesliga,GER,74,72,64,79,65,74,3,1
Lovre Kalinić,75,GK,Aston Villa,Premier League,CRO,78,74,48,76,34,76,2,1
David von Ballmoos,75,GK,BSC Young Boys,RSL,SUI,76,74,73,76,53,73,3,1
Andre Blake,75,GK,Philadelphia Union,MLS,JAM,75,68,68,80,45,75,2,1
Alexander Schlager,75,GK,LASK,Ö. Bundesliga,AT,75,72,66,79,34,73,3,1
Bartłomiej Drągowski,75,GK,Fiorentina,Serie A TIM,POL,76,72,70,78,44,74,2,1
Guido Herrera,75,GK,Yeni Malatyaspor,Süper Lig,ARG,75,73,69,77,59,75,2,1
Nicolás Vikonis,75,GK,Puebla,LIGA BBVA MX,URU,76,72,68,77,41,74,3,1
Helton Leite,75,GK,SL Benfica,Liga NOS,BRA,77,72,68,75,30,73,2,1
Jo Hyeon Woo,75,GK,Ulsan Hyundai Horang-i,K League 1,KOR,75,71,59,81,51,73,3,1
Mark Flekken,75,GK,Sport-Club Freiburg,Bundesliga,NED,76,69,75,77,31,73,4,1
Marius Müller,75,GK,FC Luzern,RSL,GER,74,74,68,79,30,75,2,1
Sam Johnstone,75,GK,West Bromwich Albion,Premier League,ENG,79,74,70,77,42,73,3,1
Silviu Lung,75,GK,Kayserispor,Süper Lig,ROM,74,71,67,76,37,75,3,1
Brice Samba,75,GK,Nottingham Forest,EFL Championship,CON,77,69,73,79,53,71,3,1
Baptiste Reynet,75,GK,Nîmes Olympique,Ligue 1 Uber Eats,FRA,74,72,74,77,45,75,3,1
Stefan Ortega,75,GK,DSC Arminia Bielefeld,Bundesliga,GER,72,70,80,78,52,75,4,1
Jesse Joronen,75,GK,Brescia,Calcio B,FIN,76,74,68,75,47,73,3,1
Bill Hamid,75,GK,D.C. United,MLS,USA,76,70,70,76,42,76,3,1
Sergio Padt,75,GK,FC Groningen,Eredivisie,NED,76,72,68,77,39,73,3,1
Stefan Frei,75,GK,Seattle Sounders FC,MLS,USA,75,71,67,78,44,77,2,1
Eloy Room,75,GK,Columbus Crew SC,MLS,NEA,76,75,69,76,45,72,3,1
Cristian Álvarez,75,GK,R. Zaragoza,LaLiga SmartBank,ARG,75,73,71,78,47,76,3,1
Hugo González,75,GK,Rayados de Monterrey,LIGA BBVA MX,MEX,76,74,70,73,33,76,4,1
Rodolfo Cota,75,GK,Club León,LIGA BBVA MX,MEX,75,70,67,78,58,79,2,1
Yoel,75,GK,SD Eibar,LaLiga Santander,ESP,75,73,74,75,38,72,5,1
Roberto,75,GK,R. Valladolid CF,LaLiga Santander,ESP,78,67,73,79,46,73,2,1
Asmir Begović,75,GK,AFC Bournemouth,EFL Championship,BOS,75,74,72,75,47,74,2,1
Tim Krul,75,GK,Norwich City,EFL Championship,NED,76,74,66,77,40,74,2,1
Wayne Hennessey,75,GK,Crystal Palace,Premier League,WAL,76,74,79,71,40,75,3,1
Darren Randolph,75,GK,West Ham United,Premier League,IRL,77,72,67,76,42,73,3,1
José de Jesús Corona,75,GK,Cruz Azul,LIGA BBVA MX,MEX,72,77,68,73,39,78,3,1
Paweł Kieszek,75,GK,Rio Ave FC,Liga NOS,POL,74,72,68,77,51,76,2,1
Serkan Kırıntılı,75,GK,Konyaspor,Süper Lig,TUR,75,72,68,78,47,75,2,1
Willy Caballero,75,GK,Chelsea,Premier League,ARG,74,72,71,74,44,76,3,1
Jesper Hansen,75,GK,FC Midtjylland,3F Superliga,DEN,75,72,77,75,41,76,4,1
Silvio Proto,75,GK,Lazio,Serie A TIM,BEL,74,71,73,75,47,76,2,1
Angus Gunn,74,GK,Norwich City,EFL Championship,ENG,76,72,70,78,48,72,3,1
Michael Esser,74,GK,VfL Bochum 1848,Bundesliga 2,GER,73,72,64,78,38,71,3,1
Cican Stanković,74,GK,AEK Athens,Hellas Liga,AT,77,71,62,79,43,70,4,1
Harun Tekin,74,GK,Kasimpaşa SK,Süper Lig,TUR,73,70,72,79,39,73,1,1
Ron-Robert Zieler,74,GK,Hannover 96,Bundesliga 2,GER,73,69,70,75,48,74,3,1
Angus Gunn,74,GK,Stoke City,EFL Championship,ENG,76,72,70,78,48,72,3,1
Jack Butland,74,GK,Crystal Palace,Premier League,ENG,74,68,66,76,57,76,4,1
Florin Niță,74,GK,Sparta Praha,Česká Liga,ROM,75,72,69,76,27,76,2,1
Marek Rodák,74,GK,Fulham,Premier League,SVK,76,71,72,75,47,70,3,1
David Raya,74,GK,Brentford,EFL Championship,ESP,73,73,66,74,53,72,2,1
Jeremías Ledesma,74,GK,Cádiz CF,LaLiga Santander,ARG,75,71,64,75,46,73,2,1
Angus Gunn,74,GK,Southampton,Premier League,ENG,76,72,70,78,48,72,3,1
Cican Stanković,74,GK,FC Red Bull Salzburg,Ö. Bundesliga,AT,77,71,62,79,43,70,4,1
Alan Aguerre,74,GK,Newell's Old Boys,Primera División,ARG,75,72,63,76,47,72,2,1
Danny Ward,74,GK,Leicester City,Premier League,WAL,75,72,66,75,45,73,3,1
Sokratis Dioudis,74,GK,Panathinaikos FC,Hellas Liga,GRE,77,71,67,78,42,73,2,1
Jack Butland,74,GK,Stoke City,EFL Championship,ENG,74,68,66,76,57,76,4,1
Michael Esser,74,GK,Hannover 96,Bundesliga 2,GER,73,72,64,78,38,71,3,1
Pavao Pervan,74,GK,VfL Wolfsburg,Bundesliga,AT,72,74,69,75,30,72,4,1
Diego Mariño,74,GK,R. Sporting,LaLiga SmartBank,ESP,74,72,69,77,50,72,3,1
Harun Tekin,74,GK,Fenerbahçe SK,Süper Lig,TUR,73,70,72,79,39,73,1,1
Renan Ribeiro,74,GK,Sporting CP,Liga NOS,BRA,78,65,65,79,52,72,2,1
Milan Heča,74,GK,Sparta Praha,Česká Liga,CZ,75,72,71,77,45,74,3,1
Andreas Luthe,74,GK,1. FC Union Berlin,Bundesliga,GER,74,69,61,77,38,75,3,1
Rafael,74,GK,Reading,EFL Championship,BRA,74,73,64,75,54,72,2,1
André Hansen,74,GK,Rosenborg BK,Eliteserien,NOR,76,68,70,78,36,75,2,1
Mamadou Samassa,74,GK,Sivasspor,Süper Lig,MAL,75,68,69,78,49,71,1,1
Ron-Robert Zieler,74,GK,1. FC Köln,Bundesliga,GER,73,69,70,75,48,74,3,1
Oier,74,GK,RCD Espanyol,LaLiga SmartBank,ESP,74,71,70,73,44,77,3,1
Aleš Hruška,74,GK,Viktoria Plzeň,Česká Liga,CZ,72,72,70,72,31,75,2,1
Danny Vukovic,74,GK,KRC Genk,1A Pro League,AUS,73,70,63,76,51,78,2,1
Fabricio,74,GK,Fulham,Premier League,ESP,73,75,71,74,57,71,4,1
Kiko Casilla,74,GK,Leeds United,Premier League,ESP,74,72,72,75,46,72,2,1
Marcelo Grohe,74,GK,Al Ittihad,MBS Pro League,BRA,74,72,66,77,39,75,2,1
Cássio,74,GK,Al Taawoun,MBS Pro League,BRA,76,74,68,75,36,69,2,1
Sergio,74,GK,RC Celta,LaLiga Santander,ESP,75,62,75,81,44,73,2,1
Rubén,74,GK,CA Osasuna,LaLiga Santander,ESP,73,72,73,75,45,74,2,1
Allan McGregor,74,GK,Rangers FC,Scottish Prem,SCO,74,71,66,79,36,73,3,1
Remko Pasveer,73,GK,Ajax,Eredivisie,NED,73,70,83,72,45,74,4,1
Stefanos Kapino,73,GK,SV Sandhausen,Bundesliga 2,GRE,74,67,66,79,41,72,2,1
Jonas Lössl,73,GK,FC Midtjylland,3F Superliga,DEN,73,74,68,75,31,71,2,1
Isak Pettersson,73,GK,Toulouse FC,Ligue 2 BKT,SWE,77,64,79,79,37,68,3,1
Rafael,73,GK,Borgocalcio,Serie A TIM,BRA,75,71,63,73,38,74,3,1
Neil Etheridge,73,GK,Birmingham City,EFL Championship,PHI,74,67,61,75,52,75,3,1
Živko Živković,73,GK,PAOK,Hellas Liga,SRB,73,68,68,75,29,75,2,1
Altay Bayındır,73,GK,Fenerbahçe SK,Süper Lig,TUR,77,69,68,80,21,69,2,1
Alireza Beiranvand,73,GK,Royal Antwerp FC,1A Pro League,IRN,78,67,66,73,40,71,3,1
Daniel Akpeyi,73,GK,Kaizer Chiefs,South African FL,NIG,74,72,68,75,24,75,2,1
Alexandros Paschalakis,73,GK,PAOK,Hellas Liga,GRE,81,62,65,82,51,70,2,1
Isak Pettersson,73,GK,IFK Norrköping,Allsvenskan,SWE,77,64,79,79,37,68,3,1
Alexandr Maksimenko,73,GK,Spartak Moscow,League of Russia,RUS,74,70,67,77,47,71,3,1
Bingourou Kamara,73,GK,RC Strasbourg Alsace,Ligue 1 Uber Eats,FRA,77,71,67,76,39,71,3,1
Thomas Didillon,73,GK,KSV Cercle Brugge,1A Pro League,FRA,74,71,66,74,56,74,2,1
Sebastián Torrico,73,GK,San Lorenzo de Almagro,Primera División,ARG,71,69,68,73,44,75,2,1
Iván Arboleda,73,GK,Club Atlético Banfield,Primera División,COL,75,69,66,75,60,71,2,1
Alberto Brignoli,73,GK,Empoli,Calcio B,ITA,72,72,75,73,32,73,3,1
Richard Strebinger,73,GK,SK Rapid Wien,Ö. Bundesliga,AT,74,64,63,79,37,74,2,1
Paul Nardi,73,GK,FC Lorient,Ligue 1 Uber Eats,FRA,78,67,68,78,50,69,3,1
